"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2023","4,577.500","4,612.500","4,625.000","4,575.000","","-0.49%"
"08/14/2023","4,600.000","4,600.000","4,600.000","4,600.000","","-3.84%"
"08/11/2023","4,783.540","4,762.090","4,808.510","4,480.210","","0.45%"
"08/10/2023","4,762.090","4,765.975","4,809.705","4,481.225","","1.89%"
"08/09/2023","4,673.735","4,764.930","4,810.530","4,481.005","","-2.12%"
"08/08/2023","4,774.980","4,561.585","5,036.325","4,475.925","","4.68%"
"08/07/2023","4,561.585","4,561.585","4,804.962","4,469.565","","-4.19%"
"08/04/2023","4,761.190","4,562.500","4,806.751","4,480.420","","4.64%"
"08/03/2023","4,550.000","4,569.540","5,061.318","4,459.200","","0.00%"
"08/02/2023","4,550.000","4,511.928","5,026.005","4,470.465","","0.72%"
"08/01/2023","4,517.500","4,717.645","5,063.250","4,454.860","","-0.50%"
"07/31/2023","4,540.000","4,517.136","4,998.835","4,442.740","","0.44%"
"07/28/2023","4,520.000","4,537.500","4,998.835","4,454.668","","-2.12%"
"07/27/2023","4,618.060","4,618.060","4,998.835","4,448.193","","1.05%"
"07/26/2023","4,570.000","4,716.770","4,761.824","4,459.435","","0.72%"
"07/25/2023","4,537.500","4,727.085","4,998.835","4,460.276","","0.28%"
"07/24/2023","4,525.000","4,537.490","4,998.835","4,468.305","","-7.46%"
"07/21/2023","4,890.000","4,998.835","4,998.835","4,514.805","","0.00%"
"07/20/2023","4,890.000","4,998.835","4,998.835","4,752.270","","0.00%"
"07/19/2023","4,890.000","4,771.390","4,890.000","4,771.390","","0.00%"
"07/18/2023","4,890.000","4,925.000","4,998.835","4,875.000","","-2.69%"
"07/17/2023","5,025.000","4,998.835","5,036.905","4,883.820","","0.50%"
"07/14/2023","5,000.000","4,998.835","5,115.125","4,927.370","","0.05%"
"07/13/2023","4,997.500","5,025.000","5,036.905","4,975.530","","-6.15%"
"07/12/2023","5,325.000","5,297.880","5,325.000","4,965.190","","0.00%"
"07/11/2023","5,325.000","5,300.000","5,775.000","5,235.660","","0.70%"
"07/10/2023","5,287.885","5,251.065","5,319.355","5,235.660","","-2.53%"
"07/07/2023","5,425.000","5,412.500","5,449.425","5,237.010","","0.23%"
"07/06/2023","5,412.545","5,400.000","5,602.352","5,319.875","","-5.65%"
"07/05/2023","5,736.665","5,831.640","5,831.640","5,379.030","","-0.05%"
"07/04/2023","5,739.795","5,775.000","5,963.925","5,739.795","","-0.09%"
"07/03/2023","5,745.000","5,739.795","5,963.925","5,726.645","","0.00%"
"06/30/2023","5,745.000","6,299.320","6,338.535","5,728.080","","-8.95%"
"06/29/2023","6,310.000","7,100.000","7,100.000","6,269.345","","-0.63%"
"06/28/2023","6,350.000","6,326.590","6,883.740","6,282.630","","-7.60%"
